code,win_size,LSTM1,LSTM2,batch_size,lr,epoch
1,6,128,64,12,0.001,20
2,12,128,64,12,0.001,20
3,24,128,64,12,0.001,20
4,48,128,64,12,0.001,20
5,6,256,128,12,0.001,20
6,12,256,128,12,0.001,20
7,24,256,128,12,0.001,20
8,48,256,128,12,0.001,20
9,6,512,256,12,0.001,20
10,12,512,256,12,0.001,20
11,24,512,256,12,0.001,20
12,48,512,256,12,0.001,20
13,6,128,64,24,0.001,20
14,12,128,64,24,0.001,20
15,24,128,64,24,0.001,20
16,48,128,64,24,0.001,20
17,6,256,128,24,0.001,20
18,12,256,128,24,0.001,20
19,24,256,128,24,0.001,20
20,48,256,128,24,0.001,20
21,6,512,256,24,0.001,20
22,12,512,256,24,0.001,20
23,24,512,256,24,0.001,20
24,48,512,256,24,0.001,20
25,6,128,64,32,0.001,20
26,12,128,64,32,0.001,20
27,24,128,64,32,0.001,20
28,48,128,64,32,0.001,20
29,6,256,128,32,0.001,20
30,12,256,128,32,0.001,20
31,24,256,128,32,0.001,20
32,48,256,128,32,0.001,20
33,6,512,256,32,0.001,20
34,12,512,256,32,0.001,20
35,24,512,256,32,0.001,20
36,48,512,256,32,0.001,20
37,6,128,64,64,0.001,20
38,12,128,64,64,0.001,20
39,24,128,64,64,0.001,20
40,48,128,64,64,0.001,20
41,6,256,128,64,0.001,20
42,12,256,128,64,0.001,20
43,24,256,128,64,0.001,20
44,48,256,128,64,0.001,20
45,6,512,256,64,0.001,20
46,12,512,256,64,0.001,20
47,24,512,256,64,0.001,20
48,48,512,256,64,0.001,20
49,6,128,64,12,0.0001,20
50,12,128,64,12,0.0001,20
51,24,128,64,12,0.0001,20
52,48,128,64,12,0.0001,20
53,6,256,128,12,0.0001,20
54,12,256,128,12,0.0001,20
55,24,256,128,12,0.0001,20
56,48,256,128,12,0.0001,20
57,6,512,256,12,0.0001,20
58,12,512,256,12,0.0001,20
59,24,512,256,12,0.0001,20
60,48,512,256,12,0.0001,20
61,6,128,64,24,0.0001,20
62,12,128,64,24,0.0001,20
63,24,128,64,24,0.0001,20
64,48,128,64,24,0.0001,20
65,6,256,128,24,0.0001,20
66,12,256,128,24,0.0001,20
67,24,256,128,24,0.0001,20
68,48,256,128,24,0.0001,20
69,6,512,256,24,0.0001,20
70,12,512,256,24,0.0001,20
71,24,512,256,24,0.0001,20
72,48,512,256,24,0.0001,20
73,6,128,64,32,0.0001,20
74,12,128,64,32,0.0001,20
75,24,128,64,32,0.0001,20
76,48,128,64,32,0.0001,20
77,6,256,128,32,0.0001,20
78,12,256,128,32,0.0001,20
79,24,256,128,32,0.0001,20
80,48,256,128,32,0.0001,20
81,6,512,256,32,0.0001,20
82,12,512,256,32,0.0001,20
83,24,512,256,32,0.0001,20
84,48,512,256,32,0.0001,20
85,6,128,64,64,0.0001,20
86,12,128,64,64,0.0001,20
87,24,128,64,64,0.0001,20
88,48,128,64,64,0.0001,20
89,6,256,128,64,0.0001,20
90,12,256,128,64,0.0001,20
91,24,256,128,64,0.0001,20
